date,open,high,low,close,volume,hold,settle
2025-07-25,13730.0,13915.0,13700.0,13765.0,6754,24599,13815.0
2025-07-28,13605.0,13845.0,13480.0,13580.0,7429,24674,13655.0
2025-07-29,13620.0,13625.0,13485.0,13535.0,2964,24846,13540.0
2025-07-30,13600.0,13625.0,13470.0,13485.0,3636,25592,13525.0
2025-07-31,13455.0,13505.0,13255.0,13280.0,5073,25281,13350.0
2025-08-01,13280.0,13400.0,13220.0,13260.0,3588,25722,13290.0
2025-08-04,13220.0,13290.0,13170.0,13280.0,2674,26060,13230.0
2025-08-05,13275.0,13290.0,13230.0,13275.0,1628,26378,13260.0
2025-08-06,13275.0,13440.0,13235.0,13335.0,4752,26818,13365.0
2025-08-07,13365.0,13400.0,13295.0,13375.0,2855,26958,13355.0
2025-08-08,13400.0,13430.0,13340.0,13400.0,2724,27203,13385.0
2025-08-11,13480.0,13480.0,13370.0,13385.0,2779,27640,13415.0
2025-08-12,13380.0,13450.0,13340.0,13420.0,2633,28165,13415.0
2025-08-13,13470.0,13470.0,13340.0,13395.0,3710,28513,13400.0
2025-08-14,13400.0,13415.0,13275.0,13295.0,3234,29328,13335.0
2025-08-15,13295.0,13345.0,13260.0,13320.0,1850,29337,13290.0
2025-08-18,13330.0,13380.0,13220.0,13270.0,3176,30175,13305.0
2025-08-19,13290.0,13350.0,13285.0,13330.0,2189,30075,13320.0
2025-08-20,13380.0,13380.0,13220.0,13290.0,3462,30322,13285.0
2025-08-21,13305.0,13330.0,13265.0,13285.0,1598,30358,13295.0
2025-08-22,13345.0,13370.0,13285.0,13300.0,2517,30811,13325.0
2025-08-25,13290.0,13360.0,13290.0,13315.0,1911,30985,13325.0
2025-08-26,13310.0,13315.0,13235.0,13285.0,2598,31050,13275.0
2025-08-27,13285.0,13290.0,13220.0,13235.0,1966,31079,13240.0
2025-08-28,13230.0,13240.0,13140.0,13160.0,4090,31515,13165.0
2025-08-29,13160.0,13195.0,13085.0,13135.0,3149,31772,13125.0
2025-09-01,13150.0,13205.0,13045.0,13110.0,4194,32211,13120.0
2025-09-02,13110.0,13115.0,13040.0,13095.0,2845,32584,13080.0
2025-09-03,13095.0,13140.0,13050.0,13130.0,3160,32475,13095.0
2025-09-04,13105.0,13135.0,13015.0,13030.0,3303,32947,13045.0
2025-09-05,13035.0,13080.0,12955.0,13070.0,4621,33587,13010.0
2025-09-08,13045.0,13140.0,12980.0,13085.0,4878,34733,13090.0
2025-09-09,13090.0,13090.0,12930.0,12950.0,5247,35979,12990.0
2025-09-10,12920.0,13065.0,12920.0,13015.0,4756,36193,13010.0
2025-09-11,13045.0,13080.0,12960.0,13015.0,2813,36665,13010.0
2025-09-12,13000.0,13060.0,13000.0,13060.0,4507,37242,13030.0
2025-09-15,12995.0,13060.0,12965.0,13045.0,3991,38157,13005.0
2025-09-16,13080.0,13100.0,12980.0,13005.0,4096,39174,13025.0
2025-09-17,13025.0,13060.0,12955.0,13005.0,5666,39379,13005.0
2025-09-18,12985.0,13010.0,12820.0,12855.0,9762,42992,12915.0
2025-09-19,12850.0,12875.0,12820.0,12840.0,5682,44955,12850.0
2025-09-22,12850.0,12885.0,12745.0,12755.0,8880,46185,12815.0
2025-09-23,12745.0,12775.0,12630.0,12635.0,7819,47359,12685.0
2025-09-24,12650.0,12780.0,12635.0,12755.0,8294,47802,12700.0
2025-09-25,12750.0,12780.0,12710.0,12745.0,5442,48476,12745.0
2025-09-26,12750.0,12755.0,12620.0,12655.0,7332,50862,12660.0
2025-09-29,12580.0,12580.0,12405.0,12450.0,14327,52605,12450.0
2025-09-30,12420.0,12495.0,12300.0,12480.0,9786,52713,12395.0
2025-10-09,12100.0,12175.0,11910.0,11970.0,16259,57549,12035.0
2025-10-10,11950.0,12060.0,11925.0,11960.0,15122,63618,11985.0
2025-10-13,11950.0,11980.0,11725.0,11725.0,18631,69712,11835.0
2025-10-14,11725.0,11900.0,11725.0,11835.0,17969,71196,11825.0
2025-10-15,11850.0,11880.0,11645.0,11665.0,15921,75471,11735.0
2025-10-16,11665.0,11675.0,11505.0,11540.0,16872,77419,11565.0
2025-10-17,11545.0,11555.0,11250.0,11280.0,23143,81591,11375.0
2025-10-20,11420.0,11655.0,11405.0,11570.0,30984,81283,11550.0
2025-10-21,11525.0,11695.0,11340.0,11615.0,28717,83188,11520.0
2025-10-22,11650.0,11655.0,11520.0,11585.0,15659,84415,11580.0
2025-10-23,11590.0,11690.0,11565.0,11610.0,15604,85591,11630.0
2025-10-24,11580.0,11615.0,11450.0,11570.0,20428,89282,11525.0
2025-10-27,11700.0,11750.0,11635.0,11725.0,26424,88771,11685.0
2025-10-28,11725.0,11760.0,11590.0,11620.0,20944,92827,11660.0
2025-10-29,11600.0,11645.0,11520.0,11570.0,19777,97427,11565.0
2025-10-30,11570.0,11585.0,11380.0,11410.0,27073,104084,11460.0
2025-10-31,11420.0,11450.0,11350.0,11375.0,20882,105428,11390.0
2025-11-03,11345.0,11385.0,11235.0,11315.0,24507,109150,11310.0
2025-11-04,11320.0,11540.0,11270.0,11360.0,35679,109568,11405.0
2025-11-05,11360.0,11550.0,11315.0,11490.0,32590,107323,11470.0
2025-11-06,11490.0,11525.0,11430.0,11490.0,17336,108284,11485.0
2025-11-07,11485.0,11525.0,11420.0,11465.0,15575,109158,11455.0
2025-11-10,11500.0,11580.0,11495.0,11555.0,18458,108361,11535.0
2025-11-11,11555.0,11630.0,11450.0,11465.0,28435,113296,11525.0
2025-11-12,11440.0,11550.0,11435.0,11525.0,19643,110291,11505.0
2025-11-13,11530.0,11610.0,11470.0,11605.0,23365,108520,11550.0
2025-11-14,11610.0,11630.0,11540.0,11565.0,17351,108833,11570.0
2025-11-17,11540.0,11555.0,11390.0,11470.0,25641,112559,11455.0
2025-11-18,11480.0,11510.0,11350.0,11355.0,20740,114882,11400.0
2025-11-19,11360.0,11410.0,11325.0,11350.0,14483,114413,11365.0
2025-11-20,11330.0,11365.0,11260.0,11315.0,20957,116413,11310.0
2025-11-21,11315.0,11340.0,11220.0,11245.0,19710,118104,11275.0
2025-11-24,11300.0,11390.0,11265.0,11295.0,24851,119363,11310.0
2025-11-25,11300.0,11325.0,11260.0,11295.0,18686,121830,11290.0
2025-11-26,11310.0,11420.0,11235.0,11365.0,41967,124616,11320.0
2025-11-27,11360.0,11385.0,11300.0,11315.0,22433,128243,11330.0
2025-11-28,11285.0,11325.0,11240.0,11250.0,27757,135971,11265.0
2025-12-01,11300.0,11320.0,11175.0,11205.0,32662,138362,11230.0
2025-12-02,11195.0,11305.0,11175.0,11255.0,34611,137984,11255.0
2025-12-03,11250.0,11280.0,11205.0,11235.0,20056,137020,11240.0
2025-12-04,11245.0,11250.0,11180.0,11190.0,21843,140509,11205.0
2025-12-05,11180.0,11210.0,11080.0,11085.0,39268,148215,11130.0
2025-12-08,11130.0,11440.0,11105.0,11385.0,108904,151512,11275.0
2025-12-09,11385.0,11495.0,11370.0,11450.0,92364,148826,11425.0
2025-12-10,11460.0,11480.0,11305.0,11310.0,62767,149428,11375.0
2025-12-11,11320.0,11370.0,11185.0,11220.0,73913,154716,11255.0
2025-12-12,11195.0,11350.0,11165.0,11325.0,77681,156093,11265.0
2025-12-15,11300.0,11380.0,11275.0,11305.0,62271,154627,11325.0
2025-12-16,11300.0,11360.0,11260.0,11350.0,54826,156614,11320.0
2025-12-17,11405.0,11550.0,11400.0,11435.0,102136,167381,11460.0
2025-12-18,11450.0,11470.0,11320.0,11325.0,60806,165734,11365.0
2025-12-19,11305.0,11360.0,11230.0,11325.0,68629,167344,11290.0
2025-12-22,11330.0,11400.0,11275.0,11345.0,62271,161527,11335.0
2025-12-23,11360.0,11435.0,11335.0,11415.0,56430,161853,11380.0
2025-12-24,11445.0,11500.0,11380.0,11480.0,64490,161915,11440.0
2025-12-25,11475.0,11540.0,11410.0,11460.0,63326,163431,11475.0
2025-12-26,11480.0,11720.0,11450.0,11645.0,117211,171508,11585.0
2025-12-29,11800.0,11830.0,11670.0,11715.0,105188,171116,11735.0
2025-12-30,11705.0,11880.0,11695.0,11790.0,105463,172346,11810.0
2025-12-31,11810.0,11835.0,11720.0,11795.0,82347,171144,11775.0
2026-01-05,11735.0,11775.0,11610.0,11660.0,88709,172106,11695.0
2026-01-06,11675.0,11810.0,11620.0,11810.0,82633,169630,11715.0
2026-01-07,11855.0,11925.0,11740.0,11785.0,101121,171415,11815.0
2026-01-08,11790.0,11880.0,11685.0,11720.0,88413,171271,11780.0
2026-01-09,11725.0,11815.0,11705.0,11770.0,52974,168424,11765.0
2026-01-12,11800.0,11845.0,11725.0,11735.0,63013,169837,11785.0
2026-01-13,11735.0,11840.0,11730.0,11795.0,57954,161067,11795.0
2026-01-14,11815.0,12085.0,11780.0,12010.0,133132,168526,11900.0
2026-01-15,12010.0,12160.0,11915.0,11950.0,124509,164180,12030.0
2026-01-16,11935.0,11995.0,11915.0,11980.0,61741,161495,11955.0
2026-01-19,12050.0,12140.0,11400.0,11705.0,149841,154389,11850.0
2026-01-20,11680.0,11745.0,11530.0,11550.0,83783,144103,11615.0
2026-01-21,11545.0,11555.0,11430.0,11470.0,63362,138509,11475.0
2026-01-22,11480.0,11600.0,11480.0,11600.0,50734,135450,11535.0
2026-01-23,11610.0,11630.0,11540.0,11565.0,42940,131413,11580.0
2026-01-26,11500.0,11530.0,11440.0,11465.0,53652,133394,11480.0
2026-01-27,11415.0,11480.0,11280.0,11285.0,69670,127642,11370.0
2026-01-28,11300.0,11340.0,11230.0,11270.0,51067,121223,11275.0
2026-01-29,11215.0,11250.0,11155.0,11165.0,55651,118654,11200.0
2026-01-30,11165.0,11285.0,11150.0,11220.0,69198,101717,11225.0
2026-02-02,11250.0,11330.0,11195.0,11220.0,52010,95950,11270.0
2026-02-03,11215.0,11265.0,11115.0,11160.0,38906,92241,11180.0
2026-02-04,11150.0,11205.0,11130.0,11150.0,29122,83841,11160.0
2026-02-05,11160.0,11170.0,10965.0,10995.0,36874,74864,11055.0
2026-02-06,11000.0,11015.0,10855.0,10860.0,28725,65988,10905.0
2026-02-09,10815.0,10815.0,10635.0,10645.0,33719,60043,10710.0
2026-02-10,10640.0,10775.0,10585.0,10745.0,30850,51980,10685.0
2026-02-11,10730.0,10885.0,10705.0,10845.0,22688,46259,10815.0
2026-02-12,10850.0,10900.0,10745.0,10895.0,23297,35155,10830.0
2026-02-13,10900.0,10910.0,10675.0,10740.0,14122,30077,10775.0
2026-02-24,10560.0,10560.0,10345.0,10355.0,15726,28012,10440.0
2026-02-25,10350.0,10465.0,10330.0,10395.0,11725,23819,10410.0
2026-02-26,10405.0,10410.0,10110.0,10120.0,15271,16629,10225.0
2026-02-27,10110.0,10700.0,9920.0,10630.0,26798,813,10085.0
2026-03-02,10500.0,10500.0,10100.0,10100.0,607,257,10420.0
2026-03-03,10000.0,10300.0,10000.0,10100.0,47,223,10195.0
2026-03-04,10055.0,10285.0,10055.0,10105.0,26,199,10135.0
2026-03-05,10275.0,10275.0,10180.0,10180.0,8,185,10215.0
2026-03-06,10150.0,10150.0,10150.0,10150.0,1,178,10150.0
2026-03-10,10005.0,10110.0,10005.0,10110.0,11,149,10090.0
2026-03-12,10180.0,10180.0,10175.0,10180.0,4,129,10175.0
2026-03-13,10180.0,10180.0,10180.0,10180.0,2,115,10180.0
2026-03-17,10175.0,10180.0,10175.0,10180.0,7,106,10175.0
2026-03-18,10100.0,10100.0,9565.0,9565.0,45,56,10010.0
2026-03-19,9865.0,9865.0,9600.0,9600.0,2,55,9730.0
2026-03-23,9500.0,9500.0,9200.0,9300.0,10,27,9310.0
2026-03-24,9000.0,9000.0,9000.0,9000.0,1,24,9000.0
2026-03-26,9000.0,9000.0,9000.0,9000.0,10,0,9905.0
